name	phone	id	city
(example) jordan		g0vZQgRvRFQgVOe0XiKl	
5 star a/c and heating	+12149292640	xPFMGgBHLz6RxUAHOP6v	
a/c brokers llc	+19727302007	RfcIOdzTVoKsum67TCyx	
advanced comfort	+14692518370	79YcpSemDBbuy8iU2r1v	
akin	+19037920214	KGymnTA4dVrPRgjayUcP	
american air systems	+19722720155	2kBrVVzsVbVrJyTtI98G	
aplus air experts llc	+14693526658	stywyz5Xt3JcrFyo7IbQ	
around the clock air conditioning and heating	+12147935415	DU2nXTPTSZMeC9TLMvb5	
atchison plumbing and leak detection	+14693432753	YdXMjh5ZVcIeF3twkO0h	
auto experts of texas	+19727849049	61qy1dI61CB0T8hSSZCD	
az heat and air	+19032748276	TcmeEhLOcwf0Aaevxaqx	
baker		qCVZWcGq9njmdNHjJ0z4	
barry campbell a/c & heating	+19726367334	AmFSJpW8MqaP2sGho2St	
bhs air / heat	+19037366007	BxFdTK9Jrk2WaO0Ol2rL	
boaz		Cq5PuzQWoBxwbdZXjPNI	
brummell air conditioning & refrigeration	+19038566272	TB4KRLkROgDiEjZeKLxl	
cheema heat & air services	+14693078890	Ia6EEapo0u5qQ6EHOgns	
colleyville ac repair services	+14698688828	xRo46rXTzwPx3FpuipA2	
colleyville air duct cleaning	+18176630638	cOMIet58M9FmNfu2NG8O	
comfort air a/c & heat llc	+12148750899	BDoTqwXwJj4OVCtdBbQI	
control systema universal	+19032135338	i4PHqyovzb4fi0Rml5MZ	
cool effects by larry	+19036698468	U2WPCirTnCAb2KscnkFM	
craig's	+9032802512	Gf41H7Olm3xm3GqPGpD9	
culpepper plumbing & ac inc	+19406653564	4WiDmSmUqk7DrUG3leCD	
dave smith services	+19726448000	oxX6M2rJHUu2Y93ge4wV	
db		zkldCfC2CqGQFHSB6Frl	
dean's hvac management & services	+12143096388	YyzCJyGkn4Dx8TMYTDeV	
donnie's	+9033079786	x0tS5NFOfZhuZh4ffS0P	
ducts in a row heating & air llc	+14699648794	jWG68gGy2OZTzt8omTuG	
elite refrigeration and air llc.	+19033878247	QncntwGXGw6ktGOtfqus	
flinn's		0yBjf5aw09OMXzJQE135	
frisco heating and cooling	+12543290190	N5AYXluqlfW5NG5Cmj1p	
frostbite	+9033609186	Bx8U9nzb547dxYtIoQ7k	
garland heating and air conditioning	+19728609384	ikfA3A8x339ZqihCusMU	
garland heating and air conditioning	+19728609557	HsmQZ0hkMH8QPRJeh8r9	
garland hvac cooling service	+19728233940	h3RQNXctR0vFSwV5n16W	
glacier	+9038828901	Vs8KGP3Y14kopo2md63o	
greenville supply co inc	+19034543304	6l2FNRSqlEb1X5XE5URe	
gus		UpEWXKxPDKZw5br8rl5K	
hanovers heating and cooling service	+19725971703	egBydazTaEzpHQyWvRHZ	
hhservices llc	+19727106378	63SNmpQrFTfhW4tmzjgX	
hollis	+8707775317	1JYHYGEM6rxDM86esf4q	
homestead	+12149731800	z1Ii3K8TXvGvGVq1RzPE	
horton		zBeVqSDJPRiqoc75PvO5	
hundley mechanical heating air conditioning & refrigeration	+14696820398	IupnbamPrfmTsrdxXXvx	
independent		eVuTzhlvKLXcFgFFgRp1	
joe's	+5803061663	t3aCndSrSpf647DjxEpB	
johnstone		kTmMXi40cdP2VmoDsiJL	
jones		gteNIxGTAXnUzw49yNt6	
josh heating & air conditioning garland	+19722008575	gDqhr6RTVsXIprFwd1GX	
js services heating & air conditioning	+19034945044	U82GTGH7YOYGR8kT5r5j	
maltz heating and air	+14695853310	quUOEWvSElnchA0mxGQC	
martin a/c and overhead doors	+19037347500	OtEo5BqAofniCtk2JHkD	
martin's		qyDQFwsptVe3TTmjAf5G	
matthew’s	+12146956242	V5K4g17hjtKE9OY4AGqP	
mckinney hvac services inc	+14692258538	K50iAz8sr6fre47yiIwE	
oliver's air inc.	+19039381276	TT0YCJTLCDrbwTE6CvoS	
parker brothers air conditioning	+19725178899	52QB8J4hZUbGsclp3N4H	
r3 a/c & heating	+14692311040	j8vcYFXWDCorFsJYp0UY	
reese	+4698204996	NF3SaNkQB6rsulO9mzzE	
reliable heating solutions	+14302454829	7civFpVjdD2BOuiJZ99U	
right temp a/c & heating	+19037256135	n8WchBEvzAMrnk2vt1Vb	
robert	+19085550099	QRuMzVKhiJRCwWX7tqb1	
rocket heating and air, llc	+12144903831	ddXkFHUjwNYTSZURtR28	
royal ac repair mckinney	+14697709548	a6qOqtU34Ry5BQta3orH	
rya hvac garland	+19728957882	bBSlad1Kmw4E1xaqu4jq	
service plus heat & air	+19035272311	fWPSaj5WN8W1XcETyfIT	
slater air & refrigeration	+19039306189	7FE4cQa1cJlO9QaUdU0u	
tank & tankless water heaters mckinney tx	+19723321491	ilsJI7nGEjdiedRVJnSF	
tempzone | heating • air • refrigeration (formerly nortex refrigeration)	+19722879663	3F4kZ0iwpfVB2XiqjiTY	
